Thé,café
Neige,avalanche
Orchidée,cactus
Robot,androïde
Océan,récif
Arc-en-ciel,prisme
Lanterne,bougie
Cerf,biche
Montagne,volcan
Pluie,brouillard
Vélo,trottinette
Étoile,galaxie
Loup,renard
Saturne,Jupiter
Poisson,requin
Code,algorithme
Musée,galerie
Plage,coquillage
Vent,ouragan
Dragon,phénix
Fromage,baguette
Lune,marée
Échec,victoire
Soleil,désert
Caméra,film
Tempête,éclair
Ananas, Mangue
Avion, Hélicoptère
Baguette, Pain complet
Balcon, Terrasse
Banane, Kiwi
Banc, Fauteuil
Barbecue, Plancha
Basket, Mocassin
Bateau, Canoë
Boucle d’oreille, Collier
Caméra, Appareil photo
Carotte, Pomme de terre
Casque, Écouteurs
Château, Tour
Chocolat, Vanille
Ciseaux, Cutter
Clavier, Souris
Clown, Magicien
Coiffeur, Esthéticienne
Coussin, Oreiller
Cravate, Écharpe
Cuillère, Fourchette
Dé, Domino
Dentifrice, Brosse à dents
Disque, Vinyle
Douche, Baignoire
Échelle, Escalier
Éléphant, Girafe
Épée, Arc
Éponge, Torchons
Fée, Sorcière
Feu d’artifice, Bougie
Film, Série
Fleur, Plante
Fontaine, Cascade
Frigo, Congélateur
Friteuse, Poêle
Gant, Mitaines
Gant de boxe, Gant de ski
Glace, Sorbet
Gomme, Taille-crayon
Grille-pain, Micro-ondes
Hamac, Tente
Harpe, Piano
Igloo, Cabane
Jardin, Parc
Jeu vidéo, Jeu de société
Journée, Nuit
Jus, Smoothie
Lama, Chameau
Lampe, Projecteur
Laptop, Ordinateur fixe
Lave-vaisselle, Machine à laver
Lion, Tigre
Lune, Étoile
Maillot, Costume
Mandarine, Pamplemousse
Marteau, Perceuse
Miroir, Tableau
Mouche, Papillon
Moto, Vélo
Moulin, Éolienne
Nappe, Serviette
Nuage, Arc-en-ciel
Ordinateur, Télévision
Palette, Pinceau
Parapluie, Parasol
Parking, Garage
Patinoire, Piscine
Piano, Violon
Pirate, Viking
Poêle, Casserole
Poisson rouge, Tortue
Pomme, Cerise
Portefeuille, Porte-monnaie
Poule, Canard
Puzzle, Sudoku
Radio, Enceinte
Rivière, Lac
Robot, Drone
Roche, Sable
Roller, Trottinette
Sac de voyage, Valise
Sandale, Chaussure de randonnée
Sauna, Hammam
Sel, Sucre
Skateboard, Surf
Smartphone, Tablette
Soleil, Pluie
Sombrero, Casquette
Souris (animale), Souris (informatique)
Stade, Gymnase
Stylo-plume, Marqueur
Tapis, Moquette
Théière, Cafetière
Téléphone, Talkie-walkie
Tortue, Dauphin
Trampoline, Toboggan
Trompette, Guitare
Vélo, Trottinette électrique